Custom field (Actual Effort),Assignee,Custom field (Chapter),Component/s,Component/s,Component/s,Custom field (Confidence Level),Custom field (Deployment Date),Description,Due Date,Custom field (Environment),Custom field (Environment(s)),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimation),Custom field (Feature Points),Custom field (Is there a workaround?),Issue Type,Labels,Labels,Labels,Custom field (Lead),Inward issue link (Depends),Outward issue link (Depends),Inward issue link (Duplicate),Inward issue link (Relates),Custom field (Next Supply Quantity),Custom field (Objective),Original Estimate,Custom field (Owner),Custom field (Parent Link),Custom field (Planned Effort),Custom field (Planned End Date),Custom field (Planned Start Date),Priority,Project key,Project name,Project type,Project lead,Project description,Project url,Remaining Estimate,Reporter,Custom field (Requirement Critical),Custom field (Requirement Design and Configuration Doc Link),Custom field (Requirement No.),Custom field (Requirement SOP Doc Link),Custom field (Requirement Category),Security Level,Custom field (Short Name),Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Story Points),Summary,Custom field (Target end),Custom field (Target start),Custom field (Tech & UX Notes),Custom field (WSJF),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Why are we doing it?),Custom field (Work Complete (Current Sprint)),Custom field (Work Complete (Total)),Custom field (syncProxyAssociation),Resolution,Custom field (Resolution),Custom field (Resolution)
,jackje,,,,,,,"Hey Jeff, 

Can we please get the organon product sites out of the Merck multisite and moved over to Organon? (organon, puregon, pregnyl)

[https://github.com/wpcomvip/merck/tree/master/themes/] 

Thank you so much!


Kate

CC [~mooreem] [~yoch]",,,,,Remove organon themes from Merck multisite/repo,To Do,,,,Epic,Vertex,,,,,,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,spekathe,,,,,,,,,,,,,,"Remove Canada fertility sites from Merck multisite (organon, puregon, pregnyl)",,,,,aakula,spekathe,yoch,,,,,,,
,vulina,,,,,,,"Hey Inpsyde! I noticed that there is a repo feeding this theme: [https://github.com/wpcomvip/merck/tree/preprod/themes/mhh-merck-merckvaccines2-new-theme].

However, we do not have access to it. My guess is that it probably has the URL of [https://github.com/Inpsyde-Global-Service-Provider/mhh-merck-merckvaccines2-new-theme], but I don't know for sure.

Can our team get access to that repo?
  ",,,,,,,,,,General Request,inpysde,Vertex,,,,,,,,,,,,,,,Blocker,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,jackje,,,,,,,,,,,,,,Repo Access: merckvaccines2-new-theme,,,,,jackje,vulina,,,,,,Done,,
,mooreem,,,,,,,"cc [~spekathe] [~jackje]

An Essential Accessibility scan was ran on the Isentress.com home page and a number of High Priority errors were detected. I've attached a spreadsheet of the report. I can get you access to the dashboard if you would like. 

Some of the errors could be unique to Isentress, but we want to make sure that the errors that are coming from the Vivid theme are fixed before more sites use the theme.",,,,GBLDEV-176,,,,,,Story,Vertex,,,,,,,,,,,,,,,,TBD,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,davdarro,,,,,,,,,,,,,,Essential Accessibility Scan Report,,,,,davdarro,,,,,,,,,
,jackje,,,,,,,"Lower priority since you already have a process in place for regular data syncs. Just wanted to capture this so we have a staging environment available for all the multisites.  Looks like Europe already has it, so we'd just want to add it for merck & merck2. 

Thanks!!!

CC [~mooreem]",,,,GBLDEV-182,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,spekathe,,,,,,,,,,,,,,Vertex - add new yml file for staging environments ,,,,,spekathe,,,,,,,,,
,mooreem,,,,,,,"The Indication for Gardasil 9 on MV.com requires different functionality than other product pages because it's a Subpart E drug. 

The functionality doc is being finalized. Once it's available it will be posted to this Story.",,,,GBLDEV-176,,,,,,Story,Vertex,,,,GBLDEV-177,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,davdarro,,,,,,,,,,,,,,"MV.com | Gardasil 9 - Indication and ISI",,,,,davdarro,,,,,,,,,
,jackje,,,,,,,"A new Indication and ISI have been approved by legal. 
 * Recording of the meeting where we went over the functionality of the ISI/Indication (too large to attach) [https://mydrive.merck.com/:v:/g/personal/granadam_merck_com/EdfnvI8FMbFPktmqp7EGtaABxxirM9NJjJ_Armx7c8j21Q]
 * I've attached the presentation deck from the meeting.

This will be part of Vivid360 and will be used on MV.com, MerckConnect.com and brand sites.

[~mooreem]",,,,GBLDEV-176,,,,,,Story,Vertex,,,,,GBLDEV-178,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,davdarro,,,,,,,,,,,,,,New Indication and ISI,,,,,davdarro,,,,,,,,,
,jackje,,,,,,,"Individual tasks will include updates to existing components, new components, and other items related to Vivid 360.",,,,,Vivid 360 Development,To Do,,,,Epic,demand,Vertex,,,,,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,davdarro,,,,,,,,,,,,,,Repository for all Vivid 360-related development tasks,,,,,davdarro,,,To get US consumer sites off of Tridion and on WordPress,,,,,,
,jackje,,,,,,,"The German Corporate Country site ([https://www.msd.de/|https://www.msd.de/]) has several unique functionality requirements outside the standard corporate country site:

* Login to access press articles
* Pharmacy support form (PII) - [https://www.msd.de/neukunde|https://www.msd.de/neukunde]
* Product Database

*Additional Details on Product Database*
MSD Germany resorts to a special presentation of the technical and directions for use (.html and .pdf) and they want to continue using the format.
 
Our suggestion would be to supply the pure records from TYPO3, similar to what we did here: www.msd.de/arzneimittel/include – just without styling, only dataset. We integrated this into the current MSD Connect Website https://www.msdconnect.de/product-finder.xhtml The styling would come from the Wordpress CSS itself, which is advantage to other version we are discussing. Its our preferred approach to this topic.",,,,,Additional Functionality for German Corporate Country Site,To Do,,,,Epic,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,"Login for press articles, pharmacy support form (PII), product database",,,,,vulina,yoch,,,,,,,,
,jackje,,,,,,,"Provide an estimate on cost and timeline to implement Payor Portal.

cc: [~Linaults][~spekathe][~sharami9]",,,,GBLDEV-103,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Critical,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Estimate Payor Portal Project ,,,,,jackje,sharami9,yoch,,,,,,,
,,,,,,,,"Develop Payor Portal MVP.

cc: [~Linaults][~spekathe]",,,,,Payor Portal,To Do,,,,Epic,Demand,Vertex,,,,,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Payor Portal,,,,,yoch,,,,,,,,,
,jackje,,,,,,,"Wanted to get this into JIRA so that we can track it better. This is a task to create a plan (stories/tasks) to complete the form functionality in Gravity Forms.

cc: [~Linaults][~spekathe][~mooreem]",,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Blocker,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Create stories/tasks for form functionality (US Connector),,,,,yoch,,,,,,,,,
,,,,,,,,"Discovery to determine costs/timeline to move My Merck Accounts front-end from Tridion to WP VIP.

??I would ask that the exploration occur over the summer months so that as we complete profit planning for 2022, we know how much funding will be needed to support this effort.
Usually first pass at numbers for PP is due in Sept.??

Architecture of current setup attached. 

cc: [~Linaults][~spekathe]",17/Aug/21 12:00 AM,,,GBLDEV-78,,,,,,Story,Demand,Vertex,,,,,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Conduct discovery to determine costs/timeline,,,,,yoch,,,,,,,,,
,,,,,,,,"The front-end for My Merck Accounts is currently hosted in Tridion. We need to migrate it to WP VIP.

Ask is to determine timeline/costs for 2022.

My Merck accounts is powered by several different internal systems and feeds into several different external sites.

* merckvaccines.com (ordering.merckvaccines.com)
* merckorders.com
* Admin site

cc: [~Linaults][~spekathe]",,,,,My Merck Accounts,To Do,,,,Epic,Demand,Vertex,,,,,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Migrate My Merck Accounts front-end from Tridion to WP VIP,,,,,yoch,,,,,,,,,
,,,,,,,,"We need to prevent the large content shift happening when OneTrust finally loads. 

[https://speedcurve.com/merck/misc/vitals-syn/?cs=lg&d=365&de=1&ds=1&label=Home&s=269308&share=rlc8d7z0i2zboa9emkoh38r0n6yxd3|https://speedcurve.com/merck/misc/vitals-syn/?cs=lg&d=365&de=1&ds=1&label=Home&s=269308&share=rlc8d7z0i2zboa9emkoh38r0n6yxd3]

 !image-2021-05-12-14-51-54-953.png|thumbnail! 
 !image-2021-05-12-14-49-49-022.png|thumbnail! ",,,,,,,,,,Epic,Demand,Vertex,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Prevent large content shift when OneTrust finally loads,,,,,yoch,,,,,,,,,
,jackje,,,,,,,"We need to ensure that the OneTrust scripts load before any Tealium/GTM container loads.

We may need to coordinate with Inpsyde on the Data Analytics plugin and where that plugin loads the tracking containers.

Email summary from previous conversations:

The way that GTM and Tealium do that is via JavaScript rather than using the WP enqueuing system. See https://github.com/wpcomvip/merck/blob/master/themes/isentress2/template-parts/tracking.php#L23, which essentially tells the browser, ""Find the first script in the DOM and add us before that."" It's actually incredibly un-performant because the browser then has to literally stop everything else it's doing and parse that JS before continuing to load the page, but the tracking/analytics world doesn't seem to care.
 
That being said, the GTM and Tealium scripts don't actually become ""first"" until the original snippet I linked to is parsed by the browser. That means any scripts that are positioned higher in the source code will execute first. If you look at the source code on https://www.isentress.com/, you'll see that the Tealium loading snippet is actually second-to-last and, if you look at the waterfall in the DevTools Network tab, it loads after OT and the site scripts.
 
Now, for sites that add the GTM/Tealium loading snippet in the <head> element, that might load before OT depending on where it's located in the header template in relation to the ""wp_head()"" function. The ""wp_head()"" function is where all of the enqueued stylesheets and scripts will output. So if the GTM/Tealium loading snippet is above the ""wp_head()"" function in the template then you'll never get OT to load first unless you use a similar loading snippet and place it above the GTM/Tealium one.
 
Also, I think CSS always takes precedence ahead of JS in the ""wp_head()"" output. Even if you escalate OT's order to first for scripts, the stylesheets will always output and load first.

cc: [~spekathe][~Linaults][~waltemik]",17/Aug/21 12:00 AM,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Minor,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Increase priority of OneTrust loading to ensure it loads before Tealium/GTM,,,,,waltemik,yoch,,,,,,,,
,jackje,,,,,,,"Hey Jeff!

We need to supply Organon with a dump of all our themes/plugins that you have developed before the companies split on June 2. 

Can you package/zip everything up so that we can share it with Jim Liebenow (james.liebenow@organon.com). 

cc: [~Linaults] [~spekathe]

",30/May/21 12:00 AM,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Supply Merck/MSD custom themes/plugins to Organon,,,,,yoch,,,,,,,Done,,
,jackje,,,,,,,"We've been asked to connect with you to get a list of key milestones for each site Vivid migration, and rough timing based on size/complexity of site.
  
 Could you please come up with a proposed list of milestones for those sites? And if possible, can you provide that to us by the end of this week (May 14)? 
  
 We can caveat it stating that it may change once vivid 360 work is complete.
  
 + [~sharami9] for visibility. 

Thanks!
  ",14/May/21 12:00 AM,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,spekathe,,,,,,,,,,,,,,Provide milestones for Vivid site migrations,,,,,jackje,sharami9,spekathe,,,,,,,
,jackje,,,,,,,"Hey Jeff,

We need to adjust the deeplink functionality in the m-connect pilot plugin to not force pre-reg users to complete their registration (they should be able to view a deeplink first).

Details from our email discussion:

So I believe we would just use the endpoints that Jan provides to validate an imtoken and then we would update the logic in https://github.com/wpcomvip/merck2/blob/develop/plugins/mconnect-janrain-authentication/processor.php#L195,L223 to handle the validation ourselves rather than relying on the DIH widget.
 
I think this functionality is handled by our pilot plugin so no need to interact with their theme. Rather than sending to the login page, we would detect imtoken URL query var, validate against the endpoint, and then show user page or redirect to login depending on result. This should circumvent the issues with the DIH widget's flow and should also prevent Janrain Local Storage session from being created so that if the user goes anywhere else then they'll need to log in.
 
Dev/Staging
https://dmc-api-test.mrk-mdlwr.com/deeplink/profile?imtoken=MS7F7zzln4gxxHtq54h9NKxR4G1mkmrU05XYzZyP0fPfhalXbdzDuV2XNp8TXu8PsgGqZYXSeoYlbAO8qW1BRecVDsJmZO9ru3Yo2OMcmBcBB
Prod
https://dmc-api-prod.mrk-mdlwr.com/deeplink/profile?imtoken=MS7F7zzln4gxxHtq54h9NKxR4G1mkmrU05XYzZyP0fPfhalXbdzDuV2XNp8TXu8PsgGqZYXSeoYlbAO8qW1BRecVDsJmZO9ru3Yo2OMcmBcBB
 ",19/May/21 12:00 AM,,,,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Major,GBLDEV,Global Development,software,cisses,High level tracking of Web development's 3rd party vendors' body of work ,,,yoch,,,,,,,,,,,,,,Adjust Pilot Plugin deeplink functionality to not force completion of registration,,,,,yoch,,,,,,,,,
,,,Vertex,VIVID360,,,,,,,,,WP - VIVID360 - Backlog,To Do,,,,Epic,Vertex,,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,,,,,,,WP - VIVID360 - Backlog,,,,,mooreem,,,,,,,,,
,,,Vertex,VIVID360,,,,"<p>page is dimming with white overlay behind dropdowns.<br>
will need the option for MV (and to blur)&nbsp;but for HCC sites no change should happen to the page while opening a dropdown</p>
",,,,,,,,,,Sub-task,Vertex,Vivid,,,,,FCD-4359,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,klimkosa,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,Desktop dropdown dimming - remove,,,,,klimkosa,mooreem,,,,,,Duplicate,,
,vernikm,,Vertex,VIVID360,,,,,,,,,,,,,,Sub-task,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,Selected Radio Button and Checkbox Icons,,,,,mooreem,,,,,,,Done,,
,vernikm,,Vertex,VIVID360,,,,,,,,,,,,,,Sub-task,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,Rename Twitter icon,,,,,mooreem,,,,,,,Done,,
,vernikm,,Vertex,VIVID360,,,,,,,,,,,,,,Sub-task,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,Remove icon text in dropdown,,,,,mooreem,vernikm,,,,,,Done,,
,,,Theme,Vertex,,,,WP - VIVID360 - Iconography Updates,,,,FCD-4178,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,WP - VIVID360 - Iconography Updates,31/Dec/21 12:00 AM,01/Dec/21 12:00 AM,,,mooreem,,,,,,,Done,,
,vernikm,,Vertex,VIVID360,,,,"<p>&nbsp;</p>

<p><span style=""color:#283c46"">&nbsp;| Subnav items are bold when they should be regular weight (like the ones nested under sprint names)&nbsp;</span></p>
",,,,,,,,,,Sub-task,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,mobile subnav items bolded,,,,,mooreem,,,,,,,Done,,
,vernikm,,Vertex,VIVID360,,,,,,,,,,,,,,Sub-task,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,clicking a menu item loads another menu before going to page,,,,,mooreem,,,,,,,Done,,
,vernikm,,Vertex,VIVID360,,,,"<p>&nbsp;</p>

<p><span style=""color:#283c46"">&nbsp;| Subnav items are bold when they should be regular weight (like the ones nested under sprint names)&nbsp;</span></p>
",,,,,,,,,,Sub-task,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,mobile utility bar not sticky,,,,,mooreem,vernikm,,,,,,Done,,
,vernikm,,Vertex,VIVID360,,,,"<p>&nbsp;</p>

<p><span style=""color:#283c46"">&nbsp;| blue line under header when hamburger menu is open</span></p>
",,,,,,,,,,Sub-task,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,mobile blue bar,,,,,mooreem,,,,,,,Done,,
,vernikm,,Vertex,VIVID360,,,,"<p><span style=""color:#283c46"">The text reading&nbsp;&lt; Main Menu &nbsp;is too large on mobile. Should be 16px.</span></p>
",,,,,,,,,,Sub-task,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,mobile menu text size,,,,,mooreem,,,,,,,Done,,
,vernikm,,Vertex,VIVID360,,,,"<p><span style=""color:#283c46"">height of green bar jumps to larger size on click</span></p>
",,,,,,,,,,Sub-task,vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,Mobile utility bar sizing,,,,,mooreem,vernikm,,,,,,Done,,
,,,Theme,Vertex,,,,WP - VIVID360 - Branded Header Updates,,,,FCD-4178,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,WP - VIVID360 - Branded Header Updates,31/Dec/21 12:00 AM,01/Dec/21 12:00 AM,,,mooreem,,,,,,,Done,,
,vernikm,,Vertex,VIVID360,,,,,,,,,,,,,,Sub-task,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,,,,,width of components within Columns,,,,,mooreem,vernikm,,,,,,Done,,
,,,Theme,Vertex,VIVID360,,,,,,,FCD-3939,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,,,,,Content Width Updates,,,,,mooreem,,,,,,,Done,,
,,,Theme,Vertex,,,,Card Updates,,,,FCD-4178,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,WP - VIVID360 - Card Updates,31/Dec/21 12:00 AM,01/Dec/21 12:00 AM,,,mooreem,,,,,,,,,
,,,Theme,Vertex,,,,Hero Module Updates,,,,FCD-4135,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,WP - VIVID360 - Hero Module Updates,31/Dec/21 12:00 AM,01/Dec/21 12:00 AM,,,mooreem,,,,,,,,,
,mooreem,,Theme,Vertex,VIVID360,,,"<p><b>Designs:&nbsp;</b><a href=""https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/cktkecerj034i0142f1ca4nk7/play"">https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/cktkecerj034i0142f1ca4nk7/play</a>&nbsp;</p>

<p><b>Related Requirements:&nbsp;</b><br>
Typography:&nbsp;<a href=""https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckted981y0auv016e658jfz8o/play"">https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckted981y0auv016e658jfz8o/play</a>&nbsp;</p>

<p>Grid/Spacing:&nbsp;<a href=""https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckph396gt01pi011wckri4rhk/play"">https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckph396gt01pi011wckri4rhk/play</a>&nbsp;</p>

<p><b>User story:</b> (To be added by Michelle/Design Team)</p>
",,,PROD,FCD-3928,,,,,,Story,Vertex,Vivid,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,221-1,CE DMC Omni 221-2 Sprint,,,,,WP - VIVID360 - Fork and update Table block,,,,,mooreem,,,,,,,,,
,granadam,,Theme,Vertex,VIVID360,,,"<p style=""margin-bottom:11px""><span style=""font-size:11pt""><span><span style=""font-family:Calibri,sans-serif"">Designs: <a href=""https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckuzzrt4m024u01z0cuud4jgm/play"" style=""color:#0563c1; text-decoration:underline"">https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckuzzrt4m024u01z0cuud4jgm/play</a></span></span></span></p>

<p style=""margin-bottom:11px""><span style=""font-size:11pt""><span><span style=""font-family:Calibri,sans-serif"">Related requirements: </span></span></span></p>

<p style=""margin-bottom:11px""><span style=""font-size:11pt""><span><span style=""font-family:Calibri,sans-serif"">Typography: <a href=""https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckted981y0auv016e658jfz8o/play"" style=""color:#0563c1; text-decoration:underline"">https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckted981y0auv016e658jfz8o/play</a></span></span></span></p>

<p style=""margin-bottom:11px""><span style=""font-size:11pt""><span><span style=""font-family:Calibri,sans-serif"">Iconography: <a href=""https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckph363h402sp010f3aqzf39p/play"">https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckph363h402sp010f3aqzf39p/play</a></span></span></span></p>

<p style=""margin-bottom:11px""><span style=""font-size:11pt""><span><span style=""font-family:Calibri,sans-serif""><a href=""https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckrcisx3l004w01zpbrsybcc5/play"" style=""color:#0563c1; text-decoration:underline"">https://merck.invisionapp.com/console/VIVID360-UI-Kit-Documentation-ckph2w4a502l4012597b9gj4a/ckrcisx3l004w01zpbrsybcc5/play</a></span></span></span></p>
",,,,FCD-3928,,,,,,Story,Vertex,,,,,,,,,,,,,,,,Low,FCD,WTI - Factory,software,aakula,Intended to develop capabilities for ePublish platform.,,,mooreem,,,,,,,,214-6,214-7,221-1,CE DMC Omni 221-2 Sprint,,,WP - VIVID360 - Quote Block (Enhancements),,,,,mooreem,,,,,,,,,
